"class","variable","glm_coef","glm_pval","ridge_coef","lasso_coef","elastic_coef","glm_selected","ridge_selected","lasso_selected","elastic_selected","Boruta"
"4","Nasal_breathing_therapy_Red.light.therapy",-13.8740945446204,0,-0.29446930404265,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Regular.checkups",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Regular.checkups",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Regular.checkups",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Regular.checkups",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Sea.salt.inhalation",NA,NA,-0.273877811323568,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Sea.salt.inhalation",-2.85033439581394,0,-0.186347365357208,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Sea.salt.inhalation",-4.55854534847817,0,-0.284965088493591,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Sea.salt.inhalation",11.6023045235879,0,0.745190265174367,0,0.744774093791398,TRUE,TRUE,FALSE,TRUE,"Rejected"
"1","Nasal_breathing_therapy_Sinus.surgery",NA,NA,0.248551830077759,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Sinus.surgery",-2.19245181180105,0,0.199805208921935,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Sinus.surgery",-10.8675559785859,0,-0.23255876200356,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Sinus.surgery",-11.8766893859456,0,-0.215798276996134,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Sinusitis",NA,NA,-0.282427046276407,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Sinusitis",-3.95681894844788,0,-0.22620230278808,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Sinusitis",-2.29128691832686,0,-0.280591256330883,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Sinusitis",15.6246641506,0,0.78922060539537,0,0.794381977910351,TRUE,TRUE,FALSE,TRUE,"Rejected"
"1","Nasal_breathing_therapy_Tympanic.membrane.surgery",NA,NA,0.799999058194891,0.0266741286514186,1.07860233277884,FALSE,TRUE,TRUE,TRUE,"Rejected"
"2","Nasal_breathing_therapy_Tympanic.membrane.surgery",-17.3339893765049,0,-0.39290955297685,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Tympanic.membrane.surgery",-2.5968371026672,0,-0.166114367498472,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Tympanic.membrane.surgery",-13.9069813058307,0,-0.24097513771957,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Unspecified",NA,NA,0.0985152098927764,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Unspecified",-10.414564415149,0,0.0317437515521401,0,0,TRUE,FALSE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Unspecified",-6.85427039236691,0,-0.210401173773581,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Unspecified",-1.32158763261311,0.441804396852103,0.0801422123286644,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Unspecified.surgery.for.nasal.breathing.problems",NA,NA,0.110404059179626,2.55628350119838e-05,0.144908607427622,FALSE,TRUE,TRUE,TRUE,"Rejected"
"2","Nasal_breathing_therapy_Unspecified.surgery.for.nasal.breathing.problems",NA,NA,-0.0686889830743459,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Unspecified.surgery.for.nasal.breathing.problems",NA,NA,-0.0364322055665619,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Unspecified.surgery.for.nasal.breathing.problems",NA,NA,-0.00528287053871789,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_septoplasty",NA,NA,0.0625070840079837,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
